model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,da_rank,no_rank,sv_rank,dansk,angry_tweets,scala_da,scandiqa_da,norne_nb,norne_nn,norec,scala_nb,scala_nn,norquad,suc3,swerec,scala_sv,scandiqa_sv
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,135,120,512,True,False,26151,2.99,3.06,3.24,2.67,54.48,36.6,8.84,15.42,77.81,72.22,44.59,8.98,5.72,0.0,65.5,68.33,14.81,16.11
sentence-transformers/quora-distilbert-multilingual,135,120,512,True,False,26458,2.99,3.06,3.24,2.67,54.48,36.6,8.84,13.97,77.81,72.22,44.59,8.98,5.72,0.0,65.5,68.36,14.81,16.11
AI-Sweden-Models/gpt-sw3-20b-instruct,20918,64,2048,True,False,4572,3.01,3.11,3.19,2.73,15.94,32.78,7.86,52.16,23.95,26.55,40.89,9.45,8.32,43.19,15.7,68.23,12.39,52.04
Maltehb/aelaectra-danish-electra-small-cased,14,32,128,True,False,4593,3.02,2.64,3.3,3.13,63.31,32.72,67.74,0.0,71.85,67.14,29.0,33.57,21.79,0.03,57.82,55.68,19.26,0.0
LumiOpen/Viking-13B,14030,131,4099,True,False,3480,3.05,2.91,3.62,2.62,28.8,37.2,2.94,49.57,28.87,34.01,27.31,1.53,-0.63,25.53,32.3,72.28,2.46,48.88
dbmdz/bert-medium-historic-multilingual-cased,42,32,512,True,False,24291,3.06,3.22,3.42,2.53,49.88,27.93,5.42,22.93,69.65,66.78,26.33,6.62,5.16,15.75,66.11,59.66,26.28,24.36
google/gemma-2b,2506,256,8192,True,False,6087,3.09,2.97,3.61,2.68,19.97,40.21,2.27,50.55,15.53,19.78,32.89,1.18,0.0,33.33,14.67,75.45,3.82,51.73
Maltehb/aelaectra-danish-electra-small-uncased,14,32,128,True,False,5995,3.1,2.58,3.42,3.29,62.52,34.45,65.15,2.51,59.76,51.44,33.41,32.87,20.09,0.0,39.17,57.71,17.1,0.11
jjzha/dajobbert-base-uncased,110,32,512,True,False,16243,3.11,2.62,3.47,3.23,60.78,39.65,37.67,15.41,65.95,55.29,33.31,20.34,8.07,0.0,42.99,55.49,4.69,14.22
Qwen/Qwen1.5-4B,3950,152,32768,True,False,3248,3.12,2.73,3.23,3.39,32.28,39.62,5.38,54.16,32.12,36.86,36.97,5.27,1.4,40.0,37.26,5.2,1.85,54.15
AI-Sweden-Models/gpt-sw3-1.3b-instruct,1445,64,2048,True,False,4544,3.16,3.35,3.36,2.76,14.73,27.14,2.65,46.38,33.08,38.28,35.58,0.82,1.43,36.06,19.04,73.34,2.9,47.45
LumiOpen/Viking-7B,7550,131,4096,True,False,5723,3.23,3.1,3.68,2.9,16.67,38.36,1.22,47.53,20.17,24.06,33.84,1.05,-0.47,22.58,21.84,63.6,0.65,46.51
HPLT/gpt-7b-nordic-prerelease,7550,131,4096,True,False,5404,3.28,3.05,3.92,2.86,21.98,37.77,1.26,46.03,20.25,28.99,17.44,3.2,2.61,21.5,27.07,61.96,2.65,46.16
allenai/OLMo-7B,6888,50,2051,True,False,5403,3.28,3.16,4.05,2.62,26.76,30.76,0.55,45.65,34.42,35.17,21.46,0.34,0.26,0.12,37.36,72.08,-0.86,45.16
AI-Sweden-Models/gpt-sw3-1.3b,1445,64,2048,True,False,4608,3.3,3.34,3.66,2.91,8.8,28.65,2.84,45.34,13.49,14.74,27.28,3.09,1.86,34.91,6.08,71.38,1.17,45.55
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct,7111,64,2048,True,False,2383,3.32,3.69,3.33,2.93,15.35,2.85,10.99,50.51,24.67,29.03,34.39,2.42,5.11,42.52,14.58,56.6,10.92,50.18
google/gemma-2b-it,2506,256,8192,False,False,6471,3.32,3.19,3.57,3.19,24.44,34.03,2.25,42.12,39.78,43.58,22.01,2.76,1.45,32.42,33.51,43.97,0.53,39.39
AI-Sweden-Models/gpt-sw3-6.7b,7111,64,2048,True,False,2285,3.33,3.29,3.67,3.02,18.23,22.71,5.03,49.11,22.35,21.98,18.23,1.68,2.49,41.8,18.83,53.68,3.49,49.81
norallm/normistral-7b-scratch,7248,33,2048,True,False,3192,3.33,3.29,3.74,2.97,14.88,34.66,0.29,42.16,14.58,21.06,32.02,1.49,0.98,22.87,13.79,71.59,-0.89,38.33
mhenrichsen/danskgpt-tiny-chat,1100,32,2048,False,False,1745,3.36,3.2,3.75,3.14,22.31,34.05,0.7,41.82,28.74,30.34,27.49,-2.17,0.26,19.1,27.31,45.94,-0.97,35.57
sentence-transformers/distiluse-base-multilingual-cased-v1,135,120,512,True,False,26344,3.4,3.41,3.73,3.06,46.78,27.78,3.04,15.52,60.76,59.62,25.98,2.65,3.47,0.2,49.86,60.06,3.18,16.08
AI-Sweden-Models/gpt-sw3-356m-instruct,471,64,2048,True,False,5855,3.43,3.38,3.67,3.24,11.28,34.94,2.08,36.59,24.38,31.28,30.88,-0.3,0.45,23.99,14.84,59.0,0.06,34.37
KBLab/albert-base-swedish-cased-alpha,14,50,512,True,False,15925,3.43,3.67,3.77,2.86,29.9,19.79,6.15,15.96,66.97,63.9,18.85,5.83,4.02,0.0,47.19,56.57,20.92,23.86
NbAiLab/nb-gpt-j-6B-alpaca,6055,50,1024,False,False,2607,3.45,3.48,3.72,3.15,12.95,27.68,1.65,38.6,23.82,26.04,32.6,0.34,2.26,21.33,13.28,60.17,1.52,37.23
dbmdz/bert-mini-historic-multilingual-cased,12,32,512,True,False,47122,3.46,3.55,3.68,3.15,41.7,26.03,2.19,13.82,61.55,59.9,24.59,3.45,2.72,3.99,50.07,56.1,5.05,14.49
Qwen/Qwen1.5-1.8B-Chat,1837,152,32768,False,False,8304,3.5,3.38,4.0,3.12,18.0,26.58,0.63,41.66,26.99,25.74,19.85,1.96,-0.01,16.33,20.94,52.54,0.34,43.55
Qwen/Qwen1.5-1.8B,1837,152,32768,True,False,5666,3.51,3.37,4.03,3.12,9.83,29.03,0.56,46.43,12.1,13.42,22.82,2.7,2.21,16.31,18.01,51.91,1.49,44.83
allenai/OLMo-7B-Twin-2T,6888,50,2051,True,False,5484,3.53,3.58,4.2,2.8,7.52,18.3,3.23,46.35,9.06,17.16,25.52,0.68,0.17,0.46,20.49,70.04,2.28,45.85
jannesg/bertsson,124,50,512,True,False,15314,3.54,3.66,3.94,3.03,32.63,24.11,2.91,15.37,49.3,46.11,23.21,2.26,-0.66,0.68,51.13,61.67,2.87,17.24
AI-Sweden-Models/gpt-sw3-356m,471,64,2048,True,False,5758,3.55,3.52,3.66,3.47,16.13,27.61,1.96,34.79,27.37,31.22,34.21,0.92,1.25,18.52,23.77,34.29,1.57,33.7
alexanderfalk/danbert-small-cased,83,52,512,True,False,30013,3.72,3.54,3.93,3.7,33.05,30.67,13.01,1.56,42.18,37.39,24.39,7.29,2.57,0.0,22.47,53.88,1.55,1.12
3ebdola/Dialectal-Arabic-XLM-R-Base,278,250,512,True,False,15177,3.75,3.77,3.98,3.51,36.51,22.07,1.63,3.09,55.55,53.53,12.69,2.79,1.66,0.0,42.78,44.95,1.43,8.71
mhenrichsen/danskgpt-tiny,1100,32,2048,True,False,8597,3.75,3.6,4.1,3.55,14.13,26.31,-0.54,32.12,27.37,27.59,18.09,-0.19,-0.8,5.84,23.92,31.93,0.46,30.81
Qwen/Qwen1.5-0.5B-Chat,620,152,32768,False,False,11740,3.82,3.81,4.18,3.47,17.38,10.72,1.32,34.58,29.52,31.27,11.49,0.29,-0.12,7.8,18.57,40.23,0.21,29.49
RuterNorway/Llama-2-7b-chat-norwegian,-1,32,4096,False,False,10890,3.82,4.01,4.08,3.37,10.12,10.65,-0.66,26.08,21.04,18.71,12.22,-1.18,0.36,26.86,22.38,31.11,0.09,44.36
Qwen/Qwen1.5-0.5B,620,152,32768,True,False,11371,3.88,3.79,4.23,3.61,19.01,8.88,0.66,32.78,34.46,33.41,6.31,-1.59,0.61,5.95,28.96,26.58,-1.88,34.59
allenai/OLMo-1B,1177,50,2051,True,False,8536,3.91,3.89,4.29,3.56,13.39,17.94,-2.02,23.65,30.79,31.12,9.95,-0.95,-0.04,0.0,29.39,38.95,-1.35,17.85
RabotaRu/HRBert-mini,80,200,512,True,False,54951,3.96,3.99,4.23,3.66,22.21,20.33,0.9,2.73,31.87,32.47,15.07,1.26,0.49,0.0,24.61,52.31,1.32,2.86
fresh-xlm-roberta-base,278,250,512,True,False,2214,4.06,4.08,4.28,3.81,16.04,17.37,1.34,1.58,25.49,25.94,12.6,0.5,1.83,0.0,11.91,51.11,0.86,2.0
fresh-electra-small,14,31,512,True,False,7561,4.13,4.23,4.32,3.84,12.87,18.61,0.3,0.0,18.38,12.76,15.29,0.17,0.37,0.0,10.54,55.54,-0.15,0.02
NbAiLab/nb-gpt-j-6B-v2,6051,50,1024,False,False,2556,4.15,4.14,4.32,4.0,0.24,27.8,0.56,6.84,5.29,6.77,20.84,0.45,0.48,2.43,0.31,27.42,0.07,17.82
AI-Sweden-Models/gpt-sw3-126m-instruct,186,64,2048,True,False,7717,4.18,4.19,4.28,4.08,13.98,6.37,0.41,20.46,27.66,30.88,5.13,0.0,0.0,7.55,23.05,12.47,0.08,20.43
AI-Sweden-Models/gpt-sw3-126m,186,64,2048,True,False,8958,4.36,4.2,4.54,4.34,3.43,9.18,-0.22,16.64,13.55,9.38,7.78,-1.46,-2.97,2.32,5.66,8.15,-0.81,16.4
NbAiLab/nb-gpt-j-6B@sharded,-1,50,1024,True,False,2630,4.36,4.43,4.44,4.2,0.36,11.0,-0.11,5.15,0.22,0.24,20.64,-0.99,-0.15,0.53,0.01,33.5,-0.02,4.79
RJuro/kanelsnegl-v0.1,7242,32,512,True,False,9757,4.55,4.55,4.81,4.28,0.0,13.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,34.63,0.0,0.0
RJuro/kanelsnegl-v0.2,7242,32,512,True,False,1373,4.58,4.68,4.77,4.28,0.0,4.81,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,28.62,0.0,0.0
NorGLM/NorGPT-369M,-1,64,1024,True,False,19896,4.66,4.63,4.7,4.64,1.13,2.06,-0.36,0.32,3.14,3.0,3.41,0.22,0.27,0.0,1.47,5.5,-2.19,0.1
ai-forever/mGPT,-1,100,1024,True,False,13551,4.67,4.63,4.69,4.69,0.65,2.61,-0.73,1.99,0.08,0.0,4.76,0.67,-0.88,0.0,0.0,0.0,0.49,6.24
peter-sk/gpt-neox-da,1515,50,1024,True,False,6025,4.76,4.7,4.84,4.74,0.64,-0.52,-0.02,0.48,0.29,0.25,-1.43,-0.42,1.11,0.0,0.26,4.75,-0.6,0.06
